bethune-cookman,18,2023-01-16,H,Arkansas-Pine Bluff,L,71.0,77.0,27.0,58.0,0.466,5.0,21.0,0.238,12.0,21.0,0.571,10.0,30.0,12.0,7.0,3.0,10.0,21.0,25.0,55.0,0.455,9.0,20.0,0.45,18.0,28.0,0.643,12.0,36.0,13.0,5.0,2.0,16.0,24.0
bethune-cookman,19,2023-01-21,@,Jackson State,L,66.0,70.0,24.0,66.0,0.364,5.0,25.0,0.2,13.0,15.0,0.867,10.0,40.0,10.0,6.0,6.0,10.0,16.0,23.0,59.0,0.39,8.0,22.0,0.364,16.0,18.0,0.889,5.0,33.0,13.0,8.0,4.0,11.0,14.0
bethune-cookman,20,2023-01-23,@,Alcorn State,L,68.0,76.0,24.0,54.0,0.444,9.0,18.0,0.5,11.0,17.0,0.647,7.0,30.0,14.0,4.0,7.0,15.0,21.0,29.0,66.0,0.439,3.0,14.0,0.214,15.0,16.0,0.938,11.0,33.0,14.0,8.0,0.0,10.0,18.0
bethune-cookman,21,2023-01-28,H,Alabama State,W,64.0,62.0,22.0,56.0,0.393,7.0,23.0,0.304,13.0,16.0,0.813,11.0,35.0,8.0,5.0,2.0,11.0,13.0,24.0,57.0,0.421,6.0,17.0,0.353,8.0,13.0,0.615,9.0,27.0,8.0,7.0,5.0,10.0,17.0
bethune-cookman,22,2023-01-30,H,Alabama A&M,W,88.0,77.0,30.0,56.0,0.536,10.0,19.0,0.526,18.0,33.0,0.545,5.0,29.0,16.0,15.0,5.0,9.0,19.0,27.0,63.0,0.429,7.0,23.0,0.304,16.0,23.0,0.696,11.0,41.0,8.0,5.0,2.0,18.0,23.0
bethune-cookman,23,2023-02-04,@,Prairie View,W,60.0,58.0,21.0,63.0,0.333,8.0,21.0,0.381,10.0,16.0,0.625,5.0,27.0,9.0,5.0,7.0,6.0,20.0,18.0,57.0,0.316,3.0,16.0,0.188,19.0,23.0,0.826,12.0,47.0,7.0,3.0,9.0,13.0,14.0
binghamton,1,2022-11-07,H,Cazenovia,W,87.0,56.0,28.0,57.0,0.491,6.0,19.0,0.316,25.0,33.0,0.758,6.0,41.0,16.0,12.0,3.0,12.0,18.0,18.0,61.0,0.295,7.0,23.0,0.304,13.0,17.0,0.765,8.0,33.0,5.0,8.0,0.0,17.0,21.0
binghamton,2,2022-11-12,@,Marist,W,78.0,75.0,27.0,56.0,0.482,7.0,16.0,0.438,17.0,25.0,0.68,11.0,38.0,7.0,2.0,2.0,12.0,18.0,24.0,58.0,0.414,8.0,27.0,0.296,19.0,20.0,0.95,6.0,28.0,10.0,6.0,7.0,9.0,20.0
binghamton,3,2022-11-15,@,Maryland,L,52.0,76.0,21.0,61.0,0.344,4.0,21.0,0.19,6.0,12.0,0.5,12.0,35.0,6.0,0.0,3.0,15.0,19.0,31.0,64.0,0.484,4.0,20.0,0.2,10.0,16.0,0.625,11.0,40.0,14.0,8.0,4.0,7.0,16.0
binghamton,4,2022-11-19,H,Sacred Heart,L,60.0,75.0,23.0,59.0,0.39,4.0,20.0,0.2,10.0,11.0,0.909,12.0,31.0,14.0,2.0,5.0,16.0,15.0,27.0,69.0,0.391,7.0,24.0,0.292,14.0,18.0,0.778,15.0,37.0,13.0,9.0,2.0,7.0,14.0
